"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","city"
806451,"Sunset on the Leman Lake - Montreux",6842190,"Anne","Riviera-Pays-d'Enhaut","Montreux",46.4279,6.92836,"Entire home/apt",160,2,170,"2020-09-12",1.79,1,200,"vaud"
840777,"Appartement dans maison de ville",4121782,"Agnes","Nyon","Rolle",46.45887,6.33999,"Entire home/apt",330,7,7,"2017-08-13",0.07,1,0,"vaud"
859676,"Boutique Apartments, Vevey",4501734,"Anders","Riviera-Pays-d'Enhaut","Vevey",46.46002,6.84557,"Entire home/apt",165,2,7,"2016-09-17",0.08,4,117,"vaud"
919546,"Room Rental in Big Apt. Downtown Lausanne3",4521561,"Jo","Lausanne","Lausanne",46.51737,6.65202,"Private room",50,28,10,"2017-10-31",0.1,9,200,"vaud"
932282,"A3/C2 Coeur de Ville, Magnifique chambre",2193547,"Inès","Lausanne","Lausanne",46.5307,6.63133,"Private room",40,1,56,"2020-07-19",0.58,17,62,"vaud"
966106,"Modern apartment in the mountains!",5269002,"Jillian And David","Nyon","Saint-Cergue",46.45302,6.1611,"Entire home/apt",120,2,53,"2021-02-07",0.6,1,344,"vaud"
970278,"20 min:Lausanne/Neuchâtel",5301033,"Barbara & Roger","Jura-Nord vaudois","Grandson",46.79815,6.62508,"Private room",110,1,4,"2018-09-11",0.05,2,360,"vaud"
1040903,"Face to the lake and the Alps!",5730954,"Odile Et Finn","Morges","Morges",46.51988,6.49386,"Private room",45,4,49,"2020-11-20",0.52,2,323,"vaud"
1117582,"Stunning View - 2 Bedroom Apartment. Chardonne",6134211,"Gavin & Jenny","Riviera-Pays-d'Enhaut","Chardonne",46.47658,6.82425,"Entire home/apt",230,2,27,"2020-10-10",0.28,1,322,"vaud"
1127066,"Historical Chalet Gryon-Les Plans",6183257,"Olivier Nicolas","Aigle","Bex",46.25456,7.09709,"Entire home/apt",148,2,66,"2021-02-26",0.76,1,281,"vaud"
1134905,"Loft en milieu rural à Eclagnens",6225721,"Jean-Daniel","Gros-de-Vaud","Oulens-sous-Echallens",46.65164,6.5855,"Entire home/apt",110,4,19,"2018-10-03",0.21,2,360,"vaud"
1140136,"La Chambre #11",261907,"Marie-France","Morges","Préverenges",46.51674,6.51366,"Private room",117,1,8,"2021-02-16",0.1,2,281,"vaud"
1157613,"Stunning Suite with a view!",1759902,"Anne","Riviera-Pays-d'Enhaut","Chardonne",46.47347,6.80809,"Hotel room",173,2,3,"2014-12-29",0.04,3,334,"vaud"
1170182,"Fantastic apartment Lausanne city",6131401,"Silvia","Lausanne","Lausanne",46.52404,6.6497,"Entire home/apt",240,5,6,"2017-08-06",0.07,1,157,"vaud"
1182243,"Cozy apartment in beautiful garden!",6467347,"Christine","Riviera-Pays-d'Enhaut","Saint-Légier-La Chiésaz",46.46692,6.86318,"Entire home/apt",65,10,9,"2021-01-05",0.12,2,308,"vaud"
1189018,"NYON  -  SUPERB flat by the lake",185535,"Michelle","Nyon","Nyon",46.38266,6.24287,"Entire home/apt",180,4,3,"2018-11-30",0.04,2,362,"vaud"
1196102,"Apartment near Lake of Geneva",6503214,"Karin","Riviera-Pays-d'Enhaut","Montreux",46.43985,6.89088,"Entire home/apt",170,5,15,"2018-12-29",0.16,1,215,"vaud"
1209679,"Ski in/out Retro modern chalet w/ stunning views",6438801,"Ben","Aigle","Leysin",46.34661,7.01404,"Entire home/apt",221,4,36,"2021-02-20",0.43,1,324,"vaud"
1237327,"H2otes",6746492,"Sandrine","Morges","Cuarnens",46.62473,6.43879,"Private room",79,2,1,"2016-05-02",0.02,1,365,"vaud"
1255594,"Chalet in Pays d'Enhaut  - A",6839422,"Caroline Et Cécile","Riviera-Pays-d'Enhaut","Rossinière",46.46482,7.05176,"Private room",49,2,53,"2020-02-12",0.57,5,63,"vaud"
